Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
1,A,AML831,THEORY OF PLATES AND SHELLS,3,3-0-0,BADRI PRASAD PATEL,23,16
2,A,AML832,APPLICATIONS OF THEORY OF PLATES AND SHELLS,2,2-0-0,BADRI PRASAD PATEL,25,23
3,A,ASL736,SCIENCE OF CLIMATE CHANGE,3,3-0-0,O.P. SHARMA,100,35
4,A,CEL721,DESIGN OF CONCRETE STRUCTURE,3,02-01-00,GURMAIL S. BENIPAL,60,15
5,A,CLL121,CHEMICAL ENGG. THERMODYNAMICS,4,03-01-00,GAURAV GOEL,125,119
6,A,CLL731,ADVANCED TRANSPORT PHENOMENA,3,3-0-0,VIVEK VITTHAL BUWA,50,39
7,A,CML522,CHEMICAL DYNA. & SURFACE CHEM.,3,3-0-0,NARAYANAN D.KURUR,60,49
8,A,CML724,SYNTHESIS OF INDUSTRIALLY IMPO,3,3-0-0,RAVI SHANKAR,60,56
9,A,CRD802,MINOR PROJECT,3,0-0-6,ANANJAN BASU,40,31
10,A,CRL712,RF AND MICROWAVE ACTIVE CIRCUITS,3,3-0-0,S.K.KOUL,25,15
11,A,CRL732,SELECTED TOPICS IN RFDT-II,3,3-0-0,SUDHIR CHANDRA,70,10
12,A,CVL715,EXCAVATION METHODS & UNDERGROUND SPACE TECHNOLOGY,3,3-0-0,K.S. RAO,60,28
13,A,CVL728,ENVIRONMENTAL QUALITY MODELING,3,3-0-0,MUKESH KHARE,20,19
14,A,CVL746,PUBLIC TRANSPORTATION SYSTEMS,3,3-0-0,GEETAM TEWARI,30,19
15,A,CVL760,THEORY OF CONCRETE STRUCTURES,3,3-0-0,GURMAIL S. BENIPAL,60,18
16,A,CVL774,CONSTRUCTION CONTRACT MGMT.,3,3-0-0,K. CHANDRASHEKHAR IYER,150,48
17,A,CVL833,WATER RESOURCES SYSTEMS,3,3-0-0,RAKESH KHOSA,30,5
18,A,DIS812,PLACEMENT/DEGREE SHOW,2,0-0-4,JYOTI KUMAR,25,19
19,A,EEL602,OPERATING SYSTEMS,4,3-0-2,SUMANTRA DUTTA ROY,60,2
20,A,ELL312,SEMICONDUCTOR PROCESS TECH.,3,3-0-0,ANUJ DHAWAN,50,5
21,A,ELL365,EMBEDDED SYSTEMS,3,3-0-0,SUBRAT KAR,120,54
22,A,ELL717,OPTICAL COMMUNICATION SYSTEMS,3,3-0-0,DEVI CHADHA,60,27
23,A,ELL719,DETECTION & ESTIMATION THEORY,3,3-0-0,S.D. JOSHI,60,30
24,A,ELL783,OPERATING SYSTEMS,4,3-0-2,SUMANTRA DUTTA ROY,120,41
