Venue ,Exam Capacity 
MS 418 ,34
MS 420 ,40
MS 521 ,20
MS 523 ,30
MS525 ,30
MS543 ,12
MS 544 ,12
MS 545 ,12
MS702 ,90
MS 717 ,25
I 129 ,17
I 313 ,24
II 325 ,26
II 323 ,14
II 337 ,30
II LT1 ,50
II LT3 ,30
III 336 ,30
III 339 ,40
III 342 ,28
III356 ,24
III 360 ,16
III364 ,15
III374 ,22
III386 ,22
III LT1 ,30
III LT2 ,30
IV 323 ,30
IV 253 ,40
IV 351C ,25
IV 339 ,26
IV LT1 ,35
IV LT2 ,35
IV LT4 ,30
V 320 ,22
V 344 ,28
V 417 ,35
V  418 ,35
VI  301 ,31
VI 403 ,20
VI 427 ,24
VI 428 ,24
VI 429 ,24
VI 430 ,34
VI LT1 ,74
VI LT2 ,74
IIA 201 ,60
IIA 204 ,28
WS 101 ,35
WS204 ,70
WS115 ,70
LH 108 ,150
LH 111 ,150
LH114 ,150
LH 121 ,250
LH 325 ,250
